archetype,n,median_churn,median_files,median_human_reviews,denominator,share,examples
maintenance / benchmarks / support_only / backend_specific,2,295.5,3.5,2.5,5649,0.0003540449637103912,#33810 [Misc] Fix up attention benchmarks; #42607 Update Intel Xeon model list and vLLM Benchmark Suite BKMs
maintenance / production_code / single:quantization / backend_agnostic,2,24.5,1.0,1.0,5649,0.0003540449637103912,#34633 Remove dead bitsandbytes CxB code from 8-bit inference path; #35620 [Chore] Cleanup BNB utilization dead code
performance / benchmarks / support_only / backend_specific,2,285.5,4.5,1.0,5649,0.0003540449637103912,#31025 [CI/Build][Intel] Add new performance benchmarks for Intel Gaudi 3; #37115 [Benchmark] Improvements to attention benchmark script
refactor / tests / support_only / backend_specific,2,13.5,14.0,1.0,5649,0.0003540449637103912,#37504 [Refactor] Relocate endpoint tests to mirror serving code directory structure; #37595 [Refactor] Move serve entrypoint tests under tests/entrypoints/serve/
bugfix / production_code / single:reliability_observability / backend_specific,2,27.0,1.0,6.5,5649,0.0003540449637103912,#37964 [XPU] Support Intel XPU hardware information collection in usage stats; #38366 [BugFix][CPU] Add CPU profiler summary file output
bugfix / production_code / single:lora / backend_specific,2,29.5,1.5,3.0,5649,0.0003540449637103912,#47690 [Bugfix][LoRA] Support ark_linear base layer in _get_lora_device; #47944 [XPU][LoRA] Fix torch.compile DEVICE_LOST by avoiding view-mutation in LoRA shrink
refactor / production_code / single:compilation / cross_backend,2,419.0,25.5,5.5,5649,0.0003540449637103912,#33731 [torch.compile] Reorganize vllm/compilation and tests/compile (0/N for vLLM IR); #39684 [Compilation] Refactor SiluMul activation+quant Fusion Pass
bugfix / production_code / single:moe / cross_backend,2,46.5,1.5,12.0,5649,0.0003540449637103912,#34336 [Bugfix] fix device_name for routing replay; #40273 Fix MoE backend selection for LoRA (unquantized MoE)
bugfix / production_code / single:serving_api / cross_backend,2,152.0,10.0,4.0,5649,0.0003540449637103912,#32762 [CI][Bugfix]: return McpCall for built-in MCP tools in non-streaming mode; #47735 [Rust Frontend][CI] Unblock more end-to-end test cases
performance / production_code / single:reliability_observability / backend_agnostic,2,291.0,5.0,1.5,5649,0.0003540449637103912,"#36173 Change ""following fields were present in the request but ignored"" log from warn to debug; #47444 [Rust Frontend] Cache metric handles for scheduler & request stats"
documentation / tests / support_only / cross_backend,2,91.0,57.5,2.5,5649,0.0003540449637103912,#40759 [Examples] Resettle Disaggregated examples.; #41084 [Examples][last/6] Resettle examples.
feature / build / support_only / backend_specific,2,13.5,1.0,2.0,5649,0.0003540449637103912,#34032 [ROCm] update triton branch to support gpt-oss models for gfx11xx devices; #36147 cpu: aarch64: Upgrade OneDNN for aarch64 to add support for int8 matmul
ci / build / support_only / cross_backend,2,94.0,4.0,2.5,5649,0.0003540449637103912,#37226 [CI] Add PyTorch nightly build and test pipeline; #47180 [CI] Add TORCH_NIGHTLY=1 build mode (run full suite on torch nightly)
maintenance / production_code / single:worker_model_runner / backend_agnostic,2,10.5,1.0,1.0,5649,0.0003540449637103912,#35312 [Core] Fix `gpu_worker.py` pre-commit errors; #35552 clean unused cudagraph_batch_sizes
ci / benchmarks / support_only / backend_agnostic,2,347.0,12.5,19.0,5649,0.0003540449637103912,#36560 [CI] Add bfcl tool call correctness eval; #39896 [MyPy] Fix mypy for `vllm/benchmarks`
build / production_code / single:quantization / backend_specific,2,30.0,3.0,3.0,5649,0.0003540449637103912,"#42540 [Misc] add humming to dependencies; #43492 Revert ""[Misc] add humming to dependencies"""
test / production_code / single:serving_api / backend_specific,2,1374.5,11.0,4.5,5649,0.0003540449637103912,#38207 [CI] Reorganize scoring tests; #47823 Simplify offload-completion barrier: poll prefix cache reset instead of KV events
test / production_code / single:kernels_operators / cross_backend,2,407.5,7.0,12.0,5649,0.0003540449637103912,#40167 [vLLM IR] Add IR op testing and benchmarking infrastructure; #49513 [CI] Use explicit devices in IR tests
refactor / benchmarks / support_only / backend_agnostic,2,71.5,1.5,2.0,5649,0.0003540449637103912,#35027 [Benchmark] Use `sns.relplot` for plotting; #35418 [Refactor] Remove dead code for attention benchmark script
refactor / production_code / single:attention / backend_agnostic,2,529.5,4.0,4.0,5649,0.0003540449637103912,#38799 [EASY] Drop duplicate KV-cache initialization; #43556 [Attention] Mamba attention module refactor - LINEAR
performance / production_code / single:engine / backend_agnostic,2,32.0,1.5,2.0,5649,0.0003540449637103912,"#32975 [Perf] Optimize detokenizer python logic; #34217 [Frontend] Exploit tokenizers ""new stream"" in FastIncrementalDetokenizer"
maintenance / documentation_examples / support_only / backend_specific,2,10.5,2.0,3.5,5649,0.0003540449637103912,#35317 Add @BoyuanFeng to CODEOWNERS; #42772 Add dllehr-amd to CODEOWNERS and committers list
build / benchmarks / support_only / cross_backend,1,50.0,14.0,1.0,5649,0.0001770224818551956,#33994 Bump `lm-eval` version for Transformers v5 compatibility
build / benchmarks / support_only / backend_agnostic,1,530.0,8.0,5.0,5649,0.0001770224818551956,#46696 [Rust Frontend] Switch `rustls` to `native-tls`/OpenSSL
feature / production_code / single:input_processing_multimodal / cross_backend,1,312.0,9.0,9.0,5649,0.0001770224818551956,#46609 Add TorchCodec as a video decoding backend
build / production_code / single:moe / backend_specific,1,3.0,2.0,1.0,5649,0.0001770224818551956,#45536 Fix docs build on `main`
feature / production_code / single:moe / backend_agnostic,1,58.0,4.0,16.0,5649,0.0001770224818551956,#35178 [MoE] Make MoERunnerInterface a PluggableLayer for OOT support
feature / production_code / single:model_loading_layers / cross_backend,1,182.0,13.0,8.0,5649,0.0001770224818551956,#36139 [Feature] Add InstantTensor weight loader
feature / production_code / single:model_loading_layers / backend_specific,1,92.0,14.0,3.0,5649,0.0001770224818551956,#34614 [Feature] Add Azure Blob Storage support for RunAI Model Streamer
feature / production_code / single:speculative_decoding / backend_specific,1,180.0,5.0,7.0,5649,0.0001770224818551956,#37880 [Feature] Support per-draft-model MoE backend via `--speculative-config`
feature / production_code / single:serving_api / cross_backend,1,661.0,12.0,28.0,5649,0.0001770224818551956,#47454 [Frontend] Add endpoint plugins framework
feature / production_code / single:configuration_shared_infrastructure / backend_specific,1,2.0,1.0,2.0,5649,0.0001770224818551956,#41680 Support bf16 for mamba ssm cache
refactor / production_code / single:kernels_operators / backend_agnostic,1,4.0,1.0,3.0,5649,0.0001770224818551956,#35776 [Misc] Use envs module to get VLLM_DISABLED_KERNELS
refactor / production_code / single:model_implementation / cross_backend,1,90.0,3.0,1.0,5649,0.0001770224818551956,#44262 [DSV4] Refactor RoPE initialization
ci / production_code / single:input_processing_multimodal / backend_agnostic,1,301.0,21.0,17.0,5649,0.0001770224818551956,#35742 [CI] Fix mypy for vllm/reasoning
bugfix / production_code / single:engine / backend_specific,1,33.0,2.0,3.0,5649,0.0001770224818551956,#43023 [ROCm][CI] Stabilize runner teardown between sampler tests
ci / production_code / single:model_loading_layers / backend_specific,1,706.0,23.0,3.0,5649,0.0001770224818551956,#48387 [CI][AMD] Configure MI300 tests for native execution without DinD
ci / production_code / single:model_implementation / backend_specific,1,305.0,29.0,3.0,5649,0.0001770224818551956,#49726 Make bare `hugging_face` imports forbidden
build / production_code / single:attention / backend_specific,1,63.0,2.0,5.0,5649,0.0001770224818551956,#38814 [FlashAttention] Symlink FA4 instead of copying when using `VLLM_FLASH_ATTN_SRC_DIR`
build / production_code / single:configuration_shared_infrastructure / backend_specific,1,190.0,10.0,21.0,5649,0.0001770224818551956,"#39878 [Build] Switch default CUDA to 13.0, update CUDA architecture lists, clean up stale build-args"
build / production_code / single:input_processing_multimodal / backend_specific,1,10.0,2.0,3.0,5649,0.0001770224818551956,#34589 [ROCm][CI] Fix plugins test group; updating terratorch and dependencies
build / production_code / single:model_loading_layers / cross_backend,1,94.0,25.0,4.0,5649,0.0001770224818551956,#47551 [CI] Bump `huggingface-hub` from `v1.10.2` to `v1.22.0`
performance / production_code / single:model_loading_layers / backend_specific,1,94.0,3.0,4.0,5649,0.0001770224818551956,"#40413 [Perf] Optimize batch invariant with fused rms norm, 2.1% E2E latency improvement"
performance / production_code / single:model_loading_layers / cross_backend,1,124.0,3.0,7.0,5649,0.0001770224818551956,#40183 [Core] Use fastsafetensors ParallelLoader for weight loading
performance / production_code / single:moe / cross_backend,1,30.0,7.0,6.0,5649,0.0001770224818551956,#43219 [EPLB] Make async EPLB default
performance / production_code / single:quantization / backend_specific,1,9.0,2.0,0.0,5649,0.0001770224818551956,#34924 [Perf] Enable FlashInfer DeepGEMM swapAB on SM90 by default
bugfix / production_code / single:sampling / cross_backend,1,78.0,5.0,1.0,5649,0.0001770224818551956,#45418 [Bugfix] Reject sampling params unsupported by diffusion models
bugfix / production_code / single:model_implementation / cross_backend,1,51.0,12.0,2.0,5649,0.0001770224818551956,#46705 Migrate Voxtral to mistral-common 1.11.5 audio API
performance / production_code / single:worker_model_runner / cross_backend,1,25.0,1.0,4.0,5649,0.0001770224818551956,"#39113 [Perf] Optimize redundant sync for pooling model, 3.7% Throughput Improvement"
performance / production_code / single:sampling / backend_specific,1,359.0,5.0,3.0,5649,0.0001770224818551956,#40376 [Perf] Enable FlashInfer top-k/top-p sampler by default
refactor / production_code / single:configuration_shared_infrastructure / backend_specific,1,37.0,4.0,2.0,5649,0.0001770224818551956,#35672 [Core] Move test utility to test file
refactor / production_code / single:sampling / backend_specific,1,25.0,1.0,1.0,5649,0.0001770224818551956,#44442 [Minor] Remove FlashInfer version check in topk_topp_sampler
feature / production_code / single:lora / backend_agnostic,1,40.0,3.0,2.0,5649,0.0001770224818551956,#48525 [Core][LoRA] Support fp32 lm_head (head_dtype) on the LoRA path
feature / production_code / single:device_platform / backend_agnostic,1,13.0,2.0,7.0,5649,0.0001770224818551956,#42313 platforms: add uses_cpu_device() hook to Platform for DeviceConfig
feature / production_code / single:distributed_execution / backend_agnostic,1,184.0,3.0,2.0,5649,0.0001770224818551956,#44669 [Core][Engine] allow DP ray placement groups to be set on specific nodes
feature / production_code / single:device_platform / cross_backend,1,101.0,18.0,13.0,5649,0.0001770224818551956,#38468 Add platform manual_seed_all API
feature / production_code / single:distributed_execution / cross_backend,1,1214.0,14.0,9.0,5649,0.0001770224818551956,#34171 [Feat][RL][2/2] Native Weight Syncing API: IPC
feature / other / support_only / backend_agnostic,1,4.0,2.0,3.0,5649,0.0001770224818551956,#49474 [Docs] Re-add Reo.dev analytics beacon
feature / production_code / single:kernels_operators / cross_backend,1,27792.0,4.0,2.0,5649,0.0001770224818551956,#34928 [Kernel] [Helion] [9/N] Canonicalize GPU variant names to base model names
refactor / production_code / single:kernels_operators / cross_backend,1,147.0,42.0,5.0,5649,0.0001770224818551956,#48500 [Refactor] Move fla to third party
refactor / production_code / single:lora / backend_agnostic,1,46.0,1.0,2.0,5649,0.0001770224818551956,#44657 [MyPy] Fix mypy incompatible assignment errors in LRUCacheLoRAModelManager
refactor / production_code / single:input_processing_multimodal / backend_specific,1,390.0,6.0,2.0,5649,0.0001770224818551956,#49322 [Misc] Move PyNvVideoCodec stuff out of gpu worker
refactor / production_code / single:speculative_decoding / backend_agnostic,1,5.0,1.0,4.0,5649,0.0001770224818551956,#36507 [MTP][Misc] Clean up dead code
refactor / production_code / single:serving_api / backend_specific,1,96.0,13.0,3.0,5649,0.0001770224818551956,#44153 [Frontend] Resettle generative scoring entrypoint.
maintenance / production_code / single:kv_cache_data_movement / backend_specific,1,68.0,10.0,1.0,5649,0.0001770224818551956,#44177 [kv_offload] Add `@override` decorators to subclass method implementations
maintenance / production_code / single:kv_cache_data_movement / backend_agnostic,1,3.0,1.0,1.0,5649,0.0001770224818551956,#47969 Remove unused _get_kv_cache_config_deepseek_v4 alias
maintenance / production_code / single:quantization / backend_specific,1,69.0,2.0,0.0,5649,0.0001770224818551956,#33618 [Release] Fix format and cherry-pick
maintenance / production_code / single:reliability_observability / backend_specific,1,17.0,3.0,1.0,5649,0.0001770224818551956,#45857 [Log] Update deepgemm log
feature / production_code / single:quantization / backend_agnostic,1,53.0,3.0,4.0,5649,0.0001770224818551956,#41965 [Compressed Tensors] Allow configs with non-explicit ignores
feature / production_code / single:other / cross_backend,1,1340.0,16.0,13.0,5649,0.0001770224818551956,#44624 [Rust Frontend] Add Python bridge for Rust tool parsers
maintenance / production_code / single:input_processing_multimodal / cross_backend,1,79.0,17.0,3.0,5649,0.0001770224818551956,#35024 [Deprecation] Remove old locations of `get_tokenizer` and `resolve_hf_chat_template`
maintenance / production_code / single:speculative_decoding / backend_agnostic,1,10.0,1.0,2.0,5649,0.0001770224818551956,#35060 [CLEANING] Remove unused disable_by_batch_size from SpeculativeConfig
maintenance / production_code / single:distributed_execution / backend_agnostic,1,4.0,1.0,1.0,5649,0.0001770224818551956,#36508 [Misc] fix typo: homogenous-> homogeneous (2 lines change)
maintenance / production_code / single:kv_cache_data_movement / cross_backend,1,460.0,22.0,10.0,5649,0.0001770224818551956,#39832 [KV Connector] Remove compat support for pre-v0.12.0 constructor signatures without `KVCacheConfig`
maintenance / production_code / single:worker_model_runner / backend_specific,1,4.0,2.0,2.0,5649,0.0001770224818551956,#36715 [Doc] Fix grammatically incorrect error message in gpu_worker and xpu_worker
performance / build / support_only / cross_backend,1,52.0,25.0,1.0,5649,0.0001770224818551956,#34255 [Docs] Reduce time spent generating API docs
performance / benchmarks / support_only / cross_backend,1,16.0,6.0,2.0,5649,0.0001770224818551956,#38576 vLLM Benchmark Suite perf regression after PR#32723
other / production_code / single:quantization / backend_agnostic,1,15.0,1.0,1.0,5649,0.0001770224818551956,#37201 [Deprecation] Deprecate `--calculate-kv-scales` option
other / production_code / single:serving_api / backend_agnostic,1,523.0,26.0,13.0,5649,0.0001770224818551956,#37861 [Frontend] Remove frontend pooling multi task support.
performance / developer_tooling / support_only / backend_agnostic,1,19.0,1.0,3.0,5649,0.0001770224818551956,#36563 [Kernel] [Helion] [12/N] Use FakeTensorMode to avoid GPU allocation during config key computation
performance / production_code / single:device_platform / backend_specific,1,97.0,2.0,3.0,5649,0.0001770224818551956,#37607 [CPU][UX][Perf] Enable tcmalloc by default
performance / production_code / single:configuration_shared_infrastructure / backend_agnostic,1,8.0,1.0,5.0,5649,0.0001770224818551956,#37188 [Performance] Enable Triton autotuning disk cache by default
maintenance / production_code / single:configuration_shared_infrastructure / backend_agnostic,1,51.0,2.0,1.0,5649,0.0001770224818551956,#33722 [Deprecation] Deprecate profiling envs
maintenance / benchmarks / support_only / backend_agnostic,1,12.0,2.0,1.0,5649,0.0001770224818551956,#37049 [Misc]: clean up non-core lint issues
maintenance / production_code / single:configuration_shared_infrastructure / cross_backend,1,34.0,3.0,2.0,5649,0.0001770224818551956,#44749 [Misc] Remove orphaned env vars and stale env-var references
maintenance / production_code / single:device_platform / backend_specific,1,4.0,1.0,1.0,5649,0.0001770224818551956,#33570 [UX] Format attention backend log line
maintenance / documentation_examples / support_only / cross_backend,1,17.0,2.0,1.0,5649,0.0001770224818551956,#39439 update CODEOWNERS file
maintenance / production_code / single:configuration_shared_infrastructure / backend_specific,1,16.0,11.0,3.0,5649,0.0001770224818551956,#44128 [Misc] Remove dead VLLM_RPC_TIMEOUT env var and fix profiling doc that references it
performance / production_code / single:kernels_operators / backend_agnostic,1,59.0,3.0,4.0,5649,0.0001770224818551956,#43195 Update KDA chunk prefill decay to use exp2 semantics
maintenance / production_code / single:lora / backend_agnostic,1,50.0,1.0,3.0,5649,0.0001770224818551956,#37557 [LoRA] Minor improvements to LoRA log
maintenance / production_code / single:input_processing_multimodal / backend_agnostic,1,13.0,1.0,1.0,5649,0.0001770224818551956,#33757 [Deprecation] Remove `_get_data_parser` in MM processor
build / production_code / single:serving_api / backend_agnostic,1,35.0,5.0,2.0,5649,0.0001770224818551956,#32316 [Build] Bump python openai version
ci / production_code / multi_component / cross_backend,1,53.0,4.0,2.0,5649,0.0001770224818551956,#39219 [CI] Fix mypy for `vllm/v1/ops`
ci / production_code / single:configuration_shared_infrastructure / backend_agnostic,1,593.0,98.0,5.0,5649,0.0001770224818551956,#34934 [Bugfix][CI] fix typos
documentation / production_code / single:compilation / cross_backend,1,467.0,5.0,12.0,5649,0.0001770224818551956,#35538 [docs][torch.compile] Add fusions.md — kernel/operator fusion reference page
ci / production_code / single:other / backend_agnostic,1,24.0,4.0,11.0,5649,0.0001770224818551956,#35640 [MISC] fixed tool_parser mypy errors
documentation / other / support_only / backend_agnostic,1,168.0,2.0,1.0,5649,0.0001770224818551956,#37434 Automatically add links to API docs for matching strings in docs
documentation / ci / support_only / cross_backend,1,1274.0,18.0,6.0,5649,0.0001770224818551956,#36188 [docs] Add docs for new RL flows
documentation / ci / support_only / backend_specific,1,82.0,36.0,2.0,5649,0.0001770224818551956,#36464 [Examples] Resettle generate examples.
documentation / build / support_only / cross_backend,1,4.0,2.0,11.0,5649,0.0001770224818551956,#33351 [Dependency] Remove comments of ray in dependency files
documentation / build / support_only / backend_specific,1,83.0,4.0,2.0,5649,0.0001770224818551956,"#42429 [Build] DeepGEMM: trim comments, add integration notes + TODOs"
documentation / production_code / single:scheduler / backend_agnostic,1,11.0,1.0,1.0,5649,0.0001770224818551956,"#43724 [docs] Document --scheduler-cls base class requirement (extend AsyncScheduler, not Scheduler)"
documentation / production_code / single:serving_api / cross_backend,1,126.0,61.0,14.0,5649,0.0001770224818551956,#40995 [Examples] Resettle features examples.
documentation / production_code / single:model_implementation / backend_agnostic,1,18.0,5.0,1.0,5649,0.0001770224818551956,#35314 [Bug] Fix outdated links in source code
other / production_code / single:input_processing_multimodal / backend_agnostic,1,22.0,2.0,2.0,5649,0.0001770224818551956,#33656 [Misc] Update default image format of `encode_base64`
bugfix / production_code / single:other / backend_specific,1,646.0,4.0,3.0,5649,0.0001770224818551956,#44551 fix: Correct reasoning-end detection for prompt history
other / production_code / single:kv_cache_data_movement / backend_agnostic,1,14.0,4.0,3.0,5649,0.0001770224818551956,#43600 change name of fs_python secondary tier to fs.
ci / production_code / single:device_platform / backend_specific,1,17.0,3.0,6.0,5649,0.0001770224818551956,#38184 [ROCm][CI] Run Kernels Core Operation Test On MI325 and mitigate flakiness
ci / production_code / single:configuration_shared_infrastructure / cross_backend,1,18.0,2.0,7.0,5649,0.0001770224818551956,#35518 [CI] Fix mypy for vllm/device allocator
refactor / tests / support_only / cross_backend,1,288.0,16.0,2.0,5649,0.0001770224818551956,#37500 [Refactor] Relocate tests from tests/v1/entrypoints/ to tests/entrypoints/
ci / production_code / single:worker_model_runner / backend_specific,1,287.0,6.0,1.0,5649,0.0001770224818551956,#33778 [CI/Build] Parallelize CPU CI tests
documentation / benchmarks / support_only / backend_agnostic,1,3952.0,5.0,7.0,5649,0.0001770224818551956,#40539 [Docs]Add documentation for bench serve visualization arguments
ci / production_code / single:reliability_observability / backend_agnostic,1,67.0,2.0,1.0,5649,0.0001770224818551956,#34959 [Misc] Fix mypy errors in vllm/profiler and remove from exclude list
ci / production_code / single:serving_api / backend_agnostic,1,5.0,1.0,0.0,5649,0.0001770224818551956,#36049 [CI] Fix pre-commit mypy issue in main
documentation / production_code / multi_component / backend_agnostic,1,220.0,6.0,19.0,5649,0.0001770224818551956,#40317 [Docs] [QeRL] Layerwise Reloading Documentation
test / production_code / single:serving_api / cross_backend,1,340.0,5.0,11.0,5649,0.0001770224818551956,#46893 [CI] GSM8K eval integration test for KV offloading
test / production_code / single:compilation / backend_agnostic,1,130.0,5.0,10.0,5649,0.0001770224818551956,#35709 [torch.compile] Improve cold and warm start compile tests
bugfix / production_code / single:device_platform / backend_agnostic,1,5.0,1.0,3.0,5649,0.0001770224818551956,#36665 platforms: Fix Ray DP startup crash
test / production_code / single:moe / backend_agnostic,1,140.0,3.0,1.0,5649,0.0001770224818551956,#39349 [MoE Refactor] Add more MoE layer tests
test / production_code / single:model_loading_layers / backend_agnostic,1,239.0,2.0,5.0,5649,0.0001770224818551956,#42824 Add unit tests for pooler activation functions
other / production_code / single:model_implementation / backend_specific,1,538.0,10.0,3.0,5649,0.0001770224818551956,#46362 [Model] Remove BaiChuanForCausalLM and BaichuanForCausalLM
other / production_code / single:kv_cache_data_movement / backend_specific,1,3071.0,18.0,2.0,5649,0.0001770224818551956,#44854 [Connector] Remove `P2pNcclConnector`
test / production_code / single:kv_cache_data_movement / backend_specific,1,164.0,5.0,2.0,5649,0.0001770224818551956,#41313 [ROCm][CI] Fix NIXL spec-decode acceptance startup and diagnostics
test / production_code / single:input_processing_multimodal / backend_specific,1,40.0,5.0,5.0,5649,0.0001770224818551956,#33803 [Voxstral Realtime] Enable tests
test / production_code / single:configuration_shared_infrastructure / backend_specific,1,194.0,3.0,1.0,5649,0.0001770224818551956,#39268 [Tests] Add Qwen3-VL multimodal memory leak check
test / production_code / single:compilation / cross_backend,1,278.0,10.0,38.0,5649,0.0001770224818551956,#34307 [ROCm] [CI] Add new fusion test cases that are relevant to vLLM IR Ops
test / production_code / multi_component / cross_backend,1,1883.0,17.0,32.0,5649,0.0001770224818551956,#33293 [CI][torch.compile] Reduce e2e fusion test time
test / production_code / single:model_implementation / backend_specific,1,14.0,2.0,2.0,5649,0.0001770224818551956,#48676 [ROCm][CI] fix test_common.py
refactor / production_code / single:device_platform / backend_specific,1,17.0,3.0,1.0,5649,0.0001770224818551956,#37519 refactor: abstract deepgemm support into platform
refactor / production_code / single:configuration_shared_infrastructure / cross_backend,1,101.0,26.0,2.0,5649,0.0001770224818551956,#35579 [Examples][1/n] Resettle basic examples.
test / production_code / multi_component / backend_agnostic,1,22.0,4.0,1.0,5649,0.0001770224818551956,#34585 [CI/Build] Enable tests for recent day-0 new models
test / benchmarks / support_only / backend_specific,1,173.0,1.0,2.0,5649,0.0001770224818551956,#43262 update GPU json file based on h200 recipes
refactor / production_code / single:distributed_execution / backend_specific,1,5.0,1.0,2.0,5649,0.0001770224818551956,#33012 [Core]Extract is_last_rank in Ray for tpu to override
refactor / production_code / single:device_platform / cross_backend,1,2.0,1.0,2.0,5649,0.0001770224818551956,#34549 [Misc] Optimized check to encapsulate both CUDA and ROCm platforms
test / production_code / multi_component / backend_specific,1,263.0,4.0,7.0,5649,0.0001770224818551956,#41299 [MoE Refactor] Add sequence parallel tests to test_moe_layer.py
performance / tests / support_only / backend_specific,1,128.0,1.0,2.0,5649,0.0001770224818551956,#47534 [Test][LoRA] Use lightweight CPU reference and skip heavy cleanup in punica ops tests
bugfix / developer_tooling / support_only / backend_specific,1,6.0,1.0,1.0,5649,0.0001770224818551956,#35645 Fix TYPE_CHECKING stub defaults in envs.py to match actual runtime defaults
bugfix / developer_tooling / support_only / backend_agnostic,1,3.0,1.0,1.0,5649,0.0001770224818551956,#35681 Fix unresolved-import errors when using Astral's ty by removing src.root
